id,progress,date,col_name,col_response,col_description
1,100,2023-03-19,q1,Somewhat agree,The process was effective in generating draft learning objectives for the content of the education package
1,100,2023-03-19,q2,Somewhat agree,The process was effective in generating draft video content ideas for the education package
1,100,2023-03-19,q3,Strongly agree,I was able to contribute effectively to the workshop
1,100,2023-03-19,q7,Somewhat agree,This workshop was a valuable use of my skills
1,100,2023-03-19,q8,Collaborative approach,What was the best thing about the process applied today? Why?
2,100,2023-03-19,q1,Strongly agree,The process was effective in generating draft learning objectives for the content of the education package
2,100,2023-03-19,q2,Strongly agree,The process was effective in generating draft video content ideas for the education package
2,100,2023-03-19,q3,Strongly agree,I was able to contribute effectively to the workshop
2,100,2023-03-19,q7,Strongly agree,This workshop was a valuable use of my skills
3,100,2023-03-19,q1,Strongly agree,The process was effective in generating draft learning objectives for the content of the education package
3,100,2023-03-19,q2,Somewhat agree,The process was effective in generating draft video content ideas for the education package
3,100,2023-03-19,q3,Strongly agree,I was able to contribute effectively to the workshop
3,100,2023-03-19,q7,Strongly agree,This workshop was a valuable use of my skills
3,100,2023-03-19,q8,Co-design,What was the best thing about the process applied today? Why?
3,100,2023-03-19,q9,Sometimes gif off topic,What was the worst thing about the process applied today? Why?
3,100,2023-03-19,q10,Nope,Is there anything you would add or change about the process applied today?
3,100,2023-03-19,q11,Thanks superstars,"Do you have any other thoughts or comments about today’s workshop, that you’d like to share"
4,100,2023-03-19,q1,Strongly agree,The process was effective in generating draft learning objectives for the content of the education package
4,100,2023-03-19,q2,Strongly agree,The process was effective in generating draft video content ideas for the education package
4,100,2023-03-19,q3,Strongly agree,I was able to contribute effectively to the workshop
4,100,2023-03-19,q7,Strongly agree,This workshop was a valuable use of my skills
4,100,2023-03-19,q8,The collaborative and collegial approach.,What was the best thing about the process applied today? Why?
4,100,2023-03-19,q9,Nil,What was the worst thing about the process applied today? Why?
4,100,2023-03-19,q10,No,Is there anything you would add or change about the process applied today?
4,100,2023-03-19,q11,Well done and many thanks to the organisers.,"Do you have any other thoughts or comments about today’s workshop, that you’d like to share"
5,100,2023-03-19,q1,Strongly agree,The process was effective in generating draft learning objectives for the content of the education package
5,100,2023-03-19,q2,Strongly agree,The process was effective in generating draft video content ideas for the education package
5,100,2023-03-19,q3,Strongly agree,I was able to contribute effectively to the workshop
5,100,2023-03-19,q7,Somewhat agree,This workshop was a valuable use of my skills
5,100,2023-03-19,q8,Open communication with multiple perspectives and view points assessed.,What was the best thing about the process applied today? Why?
5,100,2023-03-19,q10,No,Is there anything you would add or change about the process applied today?
5,100,2023-03-19,q11,No,"Do you have any other thoughts or comments about today’s workshop, that you’d like to share"
6,100,2023-03-19,q1,Somewhat agree,The process was effective in generating draft learning objectives for the content of the education package
6,100,2023-03-19,q2,Strongly agree,The process was effective in generating draft video content ideas for the education package
6,100,2023-03-19,q3,Somewhat agree,I was able to contribute effectively to the workshop
6,100,2023-03-19,q7,Strongly agree,This workshop was a valuable use of my skills
6,100,2023-03-19,q8,Collaboration all had a voice,What was the best thing about the process applied today? Why?
6,100,2023-03-19,q9,Not enough time,What was the worst thing about the process applied today? Why?
6,100,2023-03-19,q10,No,Is there anything you would add or change about the process applied today?
6,100,2023-03-19,q11,Need more,"Do you have any other thoughts or comments about today’s workshop, that you’d like to share"
7,100,2023-03-19,q1,Somewhat agree,The process was effective in generating draft learning objectives for the content of the education package
7,100,2023-03-19,q2,Somewhat agree,The process was effective in generating draft video content ideas for the education package
7,100,2023-03-19,q3,Strongly agree,I was able to contribute effectively to the workshop
